variavel,dh_total_danos_humanos_diretos,dm_total_danos_materiais,pepl_total_publico,pepr_total_privado
dh_total_danos_humanos_diretos,1,0.2469835433770546,0.06060752118179657,0.20247998922217822
dm_total_danos_materiais,0.2469835433770546,1,0.3132611567314238,0.8744552221031043
pepl_total_publico,0.06060752118179657,0.3132611567314238,1,0.22774664268470196
pepr_total_privado,0.20247998922217822,0.8744552221031043,0.22774664268470196,1
