sigla_uf,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_desaparecidos,dh_outros_afetados,dm_uni_habita_danificadas,dm_uni_habita_destruidas,dm_uni_habita_valor,dm_inst_saude_danificadas,dm_inst_saude_destruidas,dm_inst_saude_valor,dm_inst_ensino_danificadas,dm_inst_ensino_destruidas,dm_inst_ensino_valor,dm_inst_servicos_danificadas,dm_inst_servicos_destruidas,dm_inst_servicos_valor,dm_inst_comuni_danificadas,dm_inst_comuni_destruidas,dm_inst_comuni_valor,dm_obras_de_infra_danificadas,dm_obras_de_infra_destruidas,dm_obras_de_infra_valor,dm_total_danos_materiais,pepl_sis_limp_e_rec_lixo_r,pepl_sis_cont_pragas_r,pepl_distrib_energia_r,pepl_telecomunicacoes_r,pepl_tran_loc_reg_l_curso_r,pepl_seguranca_publica_r,pepl_ensino_r,pepl_total_publico,pepr_agricultura_r,pepr_pecuaria_r,pepr_industria_r,pepr_comercio_r,pepr_servicos_r,pepr_total_privado
MT,14,563,3451,8075,30852,0,2278139,4614,436,50326803.751496285,111,52,1508275.1159351205,148,1,12848445.888505047,0,2,0,19,6,1661221.7469016032,253632,30604,2659399954.127265,2725744700.630103,16755717.158814566,3615476.270351676,12432532.653431058,996516.969569252,1112957702.804692,322700.42398604914,33920731.2189185,1235725755.5742538,12861265262.332119,787556609.6892322,205027771.6784091,42596459.96492151,61477603.85476673,13957923707.519442
PA,109,5072,88830,126547,573355,32,3820209,79618,7962,1399265584.8308356,821,11543,43834431.228953324,1137,287,87110143.68375999,44,189,1896802.3366446015,932,2117,44465034.694459714,242232,49802,2966449688.83054,4543021685.605193,242560375.86636266,9740650.970674258,11410764.69355272,1890891.7386317682,666792813.2846866,3925969.3137102355,104139092.75914277,1427166382.0825922,1079122778.7175236,1072940285.8539761,176961218.79119855,159893048.78524265,129432789.71262966,2618350121.8605704
PB,29,283,3819,47254,54583,172,420705,14636,8687,758148928.1858083,336,3,2187817.3303036396,517,9,12501148.912207862,1,0,0,32138,1015,35177967.73756841,82781,5289,706135798.8286507,1514151660.9945395,26403734.817785855,1138913.894395525,4409979.99700581,2422054.057943619,47247429.28503755,0,13777370.788666481,151684546.99432942,230513026.59359986,3797597.281530927,4135070.7224927815,90708.04681717529,24790319.150228962,263326721.79466966
PE,285,21795,10912,105771,439913,37,5611328,141990,23045,3783190666.2513256,9047,720,162068353.17502677,2004,108,162087767.28576604,92,58,6662861.834472356,241,67,30859539.67388163,444109,4372052,2727272491.243347,6872141679.463822,89627843.68008222,3490253.15640585,48660132.71997738,5805079.867680299,147352276.75978437,8203856.379374631,179257202.9846069,1211525006.34549,1813657136.3096101,403419054.76549613,313718235.7146475,227959329.61321285,242116682.48153678,3000870438.884502
PI,27,700,14838,53542,114454,12,1822521,41314,8264,534629996.069976,49,14,3150944.569540383,152,4,8865769.775849227,0,0,0,40,6,3669574.3488141154,16458,8699,685647737.5399832,1235964022.304163,16121719.357803958,1647835.921090585,9576931.804797664,11723827.25459665,175127899.15111837,705254.0105388467,53920117.92238666,461497365.17932445,1397788969.1119773,88453374.43269227,13613511.684099263,3386978.3984599393,6928059.737396449,1510170893.364625
PR,66,855,1832,59122,194630,32,2364336,91611,3823,833473568.5076519,2513,10531,24811409.06075683,513,96,117674072.13114917,18,41,1438896.1757041654,448,49,69981909.59235273,74834.35,22085,3855952602.0339484,4903332457.501564,62282601.11811567,2627292.6102736504,56261029.89946469,6793636.552752889,1765666263.046121,4753348.822007232,102125664.7724563,2258297899.2976623,4028797502.1857862,460386483.06255245,230973260.602804,12168755.973749826,176007683.50295648,4908333685.327847
RJ,1783,11113,9445,82279,518403,628,7680779,214287,17572,9663091348.621902,1985,16453,219876516.3574307,1286,79,274037186.1816335,62,64,4295143.148384659,1773,347,142655337.6522788,309614,6738,7913931142.63829,18217886674.59992,293690097.2815118,26087448.578498527,148602620.36304903,34540828.65370694,1449306824.7245913,16023050.785454296,98849553.77531044,3063034412.572738,940586391.5107296,204934948.16659826,266054992.7637625,1402710652.1879237,2491395253.99302,5305682238.622035
RN,12,424,28640,34673,65491,12,639978,24340,6665,387808959.29313165,165,822,7396592.758596272,357,37,23907330.15774849,40,42,2242502.334586287,122,20,14146854.700243618,53437,67900,714876669.1791337,1150378908.4234402,8839171.598731285,701634.27706231,2007228.397688123,119691.88380257401,47547075.036045045,545638.7180904677,34459540.88102342,151452409.03539908,335932811.47833735,45542726.93883188,39462707.35474623,56021363.16641153,38014127.95858295,514973736.89691013
RO,4,98,2170,4780,33279,1,297888,7323,336,331710400.7169538,12,139,3957500.918535637,38,0,16181762.706024507,3,1,297438.9907852923,23,20,41171106.66569259,1284,566,321840999.4865762,715159209.4845686,16700457.131531188,3047776.9294040035,1563824.7526619956,274372.44012054795,117454856.86435305,7652.418837737159,35759409.817332074,328672074.5749699,340548191.0432714,87063209.59763071,616583411.151546,3715085.199813977,95359373.30516034,1143269270.297422
RR,2,315,4539,1651,6951,0,33595,4944,74,42183283.62495483,19,78,513821.8893763367,63,3,2994556.9762119404,12,0,1068623.41604699,21,1,56951.188724027306,4151,2090,247204063.14646754,294021300.24178165,326548.968541831,3296578.294958135,21372.4683209397,8689.178363885652,79955931.9741734,110490.66347738601,7452121.030973673,104108437.64808258,39393498.6140835,58149657.23599013,3201656.520571693,253982.5310880913,7609685.2519551115,108608480.15368865
RS,306,10470,12318,197986,1242566,222,14913950,262209,46441,6984069607.186111,2717,77798,112579639.18483724,1125,173,411820751.8499218,56,315,24397752.66270081,2786,203,120970968.94012831,2204367.5,79853,6254940425.892952,13908779145.71665,160348970.44276437,5872858.827248377,72645718.12601528,8306954.761382587,2277531466.524213,8376890.766775934,241237682.30430368,3227399268.417568,21968613617.35718,2741999799.862971,1690571743.6564682,995152268.2419084,560727413.6996492,27957064842.818176
SC,279,8667,7059,171789,963266,133,11933019,375362,19347,5528470031.293689,1339,51150,72846641.64490376,2013,180,242938217.9326685,127,267,19268403.447039675,4408,247,89671628.53828831,755584.5,153046,8065845509.699381,14019040432.555971,175465479.05511218,4426465.047203647,119336516.12735875,19515575.91232766,1624720278.50188,87761226.95318735,172062539.9123977,2746567031.708314,7643861020.767272,824938855.3843807,3215439872.48153,14598990054.320965,3344521901.782285,29627751704.73644
SE,10,706,2106,3349,20791,0,402281,4617,695,88069725.19197156,37,471,13617730.568124948,83,1,6237588.228684776,1,0,1756.7774497583598,15,0,7168664.921951767,1252,469,198528875.6157581,313624341.3039409,7039545.725060195,0,270141.0202147339,0,12241492.718964346,2507.191317505281,3379266.7252715663,89707281.66203076,31876002.436703578,1375054.6896947152,7097240.516250489,848790.3556090613,24071982.465305366,65269070.46356314
SP,707,2506,4806,96513,298866,889,5823044,144093,14728,1711758239.429076,387,2145,73752158.72804219,736,135,153545255.78912163,20,91,11430402.627644569,63703,89,168108815.83060163,1041608,22152,7930654017.686279,10049248890.090765,176860807.61391392,14416379.335255263,41045071.51765725,18924083.520235095,1070046282.3310845,27293186.00338322,141169677.0719586,2113265569.9614923,1147507027.2970347,184709566.62380078,561529275.3593854,13253451128.650259,667891020.718228,15815088018.648731
TO,1,97,1022,6062,13109,0,64563,1123,476,20190988.889682826,27,40,144936.2082127169,6,0,250232.90186742047,0,0,0,4,76,774455.568400166,30752,696,117488307.61728922,138848921.18545237,4871912.538686898,1836388.5844939693,3449139.494805728,667391.1979150969,47377074.65784324,2050261.6474674046,4713097.990540005,83540492.97522633,753947319.8570552,36566672.05766876,2284982.57157761,1264889.1503538846,27144198.28020699,821208061.9168625
pa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
