nome_municipio,categoria_evento,n_eventos,total_municipio,perc_no_municipio
Porto Belo,Movimento de Massa,2,26,7.6923076923076925
Santa Rosa do Sul,Alagamentos,1,22,4.545454545454546
Santa Rosa do Sul,Chuvas Intensas,7,22,31.818181818181817
Santa Rosa do Sul,Enxurradas,11,22,50
Santa Rosa do Sul,Inundações,3,22,13.636363636363637
Sombrio,Alagamentos,1,16,6.25
Sombrio,Chuvas Intensas,9,16,56.25
Sombrio,Enxurradas,2,16,12.5
Sombrio,Inundações,4,16,25
São Francisco do Sul,Alagamentos,3,19,15.789473684210526
São Francisco do Sul,Chuvas Intensas,9,19,47.36842105263158
São Francisco do Sul,Enxurradas,4,19,21.05263157894737
São Francisco do Sul,Inundações,1,19,5.2631578947368425
São Francisco do Sul,Movimento de Massa,2,19,10.526315789473685
São José,Chuvas Intensas,2,17,11.764705882352942
São José,Enxurradas,13,17,76.47058823529412
São José,Inundações,2,17,11.764705882352942
São João do Sul,Alagamentos,2,23,8.695652173913043
São João do Sul,Chuvas Intensas,9,23,39.130434782608695
São João do Sul,Enxurradas,10,23,43.47826086956522
São João do Sul,Inundações,1,23,4.3478260869565215
São João do Sul,Movimento de Massa,1,23,4.3478260869565215
Tijucas,Alagamentos,1,14,7.142857142857143
Tijucas,Chuvas Intensas,6,14,42.857142857142854
Tijucas,Enxurradas,5,14,35.714285714285715
Tijucas,Inundações,2,14,14.285714285714286
