variavel,dh_total_danos_humanos_diretos,dm_total_danos_materiais,pepl_total_publico,pepr_total_privado
dh_total_danos_humanos_diretos,1,0.20896722196900452,0.0496950440976002,0.17054374540299588
dm_total_danos_materiais,0.20896722196900452,1,0.2602337807866537,0.8407621160134826
pepl_total_publico,0.0496950440976002,0.2602337807866537,1,0.21952244775820776
pepr_total_privado,0.17054374540299588,0.8407621160134826,0.21952244775820776,1
