variavel,dh_total_danos_humanos_diretos,dm_total_danos_materiais,pepl_total_publico,pepr_total_privado
dh_total_danos_humanos_diretos,1,0.3350123827094454,0.08989723658230012,0.27510886927838185
dm_total_danos_materiais,0.3350123827094454,1,0.3434460889446463,0.8866325766081581
pepl_total_publico,0.08989723658230012,0.3434460889446463,1,0.2358681701708678
pepr_total_privado,0.27510886927838185,0.8866325766081581,0.2358681701708678,1
