campo,valor
protocolo_s2i_d__tipo,
protocolo_s2i_d__falt,
protocolo_s2i_d__pct,
nome_municipio__tipo,
nome_municipio__falt,
nome_municipio__pct,
sigla_uf__tipo,
sigla_uf__falt,
sigla_uf__pct,
regiao__tipo,
regiao__falt,
regiao__pct,
data_registro__tipo,
data_registro__falt,
data_registro__pct,
data_evento__tipo,
data_evento__falt,
data_evento__pct,
cod_cobrade__tipo,
cod_cobrade__falt,
cod_cobrade__pct,
tipologia__tipo,
tipologia__falt,
tipologia__pct,
descricao_tipologia__tipo,
descricao_tipologia__falt,
descricao_tipologia__pct,
grupo_de_desastre__tipo,
grupo_de_desastre__falt,
grupo_de_desastre__pct,
cod_ibge_mun__tipo,
cod_ibge_mun__falt,
cod_ibge_mun__pct,
setores_censitarios__tipo,
setores_censitarios__falt,
setores_censitarios__pct,
status__tipo,
status__falt,
status__pct,
dh_descricao__tipo,
dh_descricao__falt,
dh_descricao__pct,
dh_mortos__tipo,
dh_mortos__falt,
dh_mortos__pct,
dh_feridos__tipo,
dh_feridos__falt,
dh_feridos__pct,
dh_enfermos__tipo,
dh_enfermos__falt,
dh_enfermos__pct,
dh_desabrigados__tipo,
dh_desabrigados__falt,
dh_desabrigados__pct,
dh_desalojados__tipo,
dh_desalojados__falt,
dh_desalojados__pct,
dh_desaparecidos__tipo,
dh_desaparecidos__falt,
dh_desaparecidos__pct,
dh_afetados_seca_estiagem__tipo,
dh_afetados_seca_estiagem__falt,
dh_afetados_seca_estiagem__pct,
dh_total_danos_humanos_diretos__tipo,
dh_total_danos_humanos_diretos__falt,
dh_total_danos_humanos_diretos__pct,
dh_outros_afetados__tipo,
dh_outros_afetados__falt,
dh_outros_afetados__pct,
dm_descricao__tipo,
dm_descricao__falt,
dm_descricao__pct,
dm_uni_habita_danificadas__tipo,
dm_uni_habita_danificadas__falt,
dm_uni_habita_danificadas__pct,
dm_uni_habita_destruidas__tipo,
dm_uni_habita_destruidas__falt,
dm_uni_habita_destruidas__pct,
dm_uni_habita_valor__tipo,
dm_uni_habita_valor__falt,
dm_uni_habita_valor__pct,
dm_inst_saude_danificadas__tipo,
dm_inst_saude_danificadas__falt,
dm_inst_saude_danificadas__pct,
dm_inst_saude_destruidas__tipo,
dm_inst_saude_destruidas__falt,
dm_inst_saude_destruidas__pct,
dm_inst_saude_valor__tipo,
dm_inst_saude_valor__falt,
dm_inst_saude_valor__pct,
dm_inst_ensino_danificadas__tipo,
dm_inst_ensino_danificadas__falt,
dm_inst_ensino_danificadas__pct,
dm_inst_ensino_destruidas__tipo,
dm_inst_ensino_destruidas__falt,
dm_inst_ensino_destruidas__pct,
dm_inst_ensino_valor__tipo,
dm_inst_ensino_valor__falt,
dm_inst_ensino_valor__pct,
dm_inst_servicos_danificadas__tipo,
dm_inst_servicos_danificadas__falt,
dm_inst_servicos_danificadas__pct,
dm_inst_servicos_destruidas__tipo,
dm_inst_servicos_destruidas__falt,
dm_inst_servicos_destruidas__pct,
dm_inst_servicos_valor__tipo,
dm_inst_servicos_valor__falt,
dm_inst_servicos_valor__pct,
dm_inst_comuni_danificadas__tipo,
dm_inst_comuni_danificadas__falt,
dm_inst_comuni_danificadas__pct,
dm_inst_comuni_destruidas__tipo,
dm_inst_comuni_destruidas__falt,
dm_inst_comuni_destruidas__pct,
dm_inst_comuni_valor__tipo,
dm_inst_comuni_valor__falt,
dm_inst_comuni_valor__pct,
dm_obras_de_infra_danificadas__tipo,
dm_obras_de_infra_danificadas__falt,
dm_obras_de_infra_danificadas__pct,
