variavel,dh_total_danos_humanos_diretos,dm_total_danos_materiais,pepl_total_publico,pepr_total_privado
dh_total_danos_humanos_diretos,1,0.33471816778633534,0.09020335544856702,0.2749702825190917
dm_total_danos_materiais,0.33471816778633534,1,0.3444485750459777,0.8866551458945338
pepl_total_publico,0.09020335544856702,0.3444485750459777,1,0.23691220224685744
pepr_total_privado,0.2749702825190917,0.8866551458945338,0.23691220224685744,1
