nome_municipio,mes_nome,ano,n_eventos
Biguaçu,Dez,1995,1
Biguaçu,Dez,2016,1
Biguaçu,Dez,2022,1
Bombinhas,Jan,2011,1
Bombinhas,Jan,2013,1
Bombinhas,Jan,2018,1
Bombinhas,Fev,2000,1
Bombinhas,Mar,2016,1
Bombinhas,Abr,2004,1
Bombinhas,Abr,2009,1
Bombinhas,Abr,2016,1
Bombinhas,Out,2016,1
Bombinhas,Dez,2020,1
Florianópolis,Jan,1995,1
Florianópolis,Jan,1997,1
Florianópolis,Jan,2008,1
Florianópolis,Jan,2011,1
Florianópolis,Jan,2017,1
Florianópolis,Jan,2018,1
Florianópolis,Jan,2019,1
Florianópolis,Jan,2020,1
Florianópolis,Jan,2021,1
Florianópolis,Fev,2000,1
Florianópolis,Fev,2001,1
Florianópolis,Fev,2011,1
Florianópolis,Mar,2010,1
Florianópolis,Mar,2011,1
Florianópolis,Mar,2015,1
Florianópolis,Mar,2020,1
Florianópolis,Abr,2024,1
Florianópolis,Mai,2010,1
Florianópolis,Mai,2017,1
Florianópolis,Mai,2022,1
Florianópolis,Mai,2024,1
Florianópolis,Jun,2021,1
Florianópolis,Jul,2015,1
Florianópolis,Ago,2022,1
Florianópolis,Set,2011,2
Florianópolis,Out,2023,2
Florianópolis,Nov,1991,1
Florianópolis,Nov,2008,1
Florianópolis,Nov,2022,1
Florianópolis,Nov,2023,1
Florianópolis,Dez,1995,1
Florianópolis,Dez,2011,1
Florianópolis,Dez,2020,1
Florianópolis,Dez,2022,1
Garopaba,Jan,2021,1
Garopaba,Abr,2024,1
Garopaba,Mai,2010,1
Garopaba,Jun,2017,1
Garopaba,Jun,2021,1
Garopaba,Ago,2022,1
Garopaba,Set,2011,1
Garopaba,Out,2021,1
Garopaba,Out,2023,1
Garopaba,Nov,2008,1
Garopaba,Nov,2015,1
Garopaba,Dez,2022,1
Garuva,Jan,1996,1
Garuva,Jan,1997,1
Garuva,Jan,2003,1
Garuva,Jan,2017,1
Garuva,Jan,2018,2
Garuva,Jan,2019,1
Garuva,Jan,2021,1
Garuva,Jan,2022,1
Garuva,Fev,1995,1
Garuva,Fev,1998,1
Garuva,Fev,2001,1
Garuva,Fev,2007,1
Garuva,Fev,2016,1
Garuva,Fev,2017,1
Garuva,Fev,2020,1
Garuva,Fev,2024,1
Garuva,Mar,2021,1
Garuva,Mai,2017,1
Garuva,Jun,2014,1
Garuva,Ago,2022,1
Garuva,Set,2021,1
Garuva,Nov,1991,1
Garuva,Nov,2008,1
Garuva,Nov,2021,1
Garuva,Nov,2022,1
Governador Celso Ramos,Jan,2001,1
Governador Celso Ramos,Jan,2002,1
Governador Celso Ramos,Jan,2004,1
Governador Celso Ramos,Jan,2008,1
Governador Celso Ramos,Jan,2016,1
Governador Celso Ramos,Jan,2018,1
Governador Celso Ramos,Fev,1995,1
