nome_municipio,ano,categoria_evento,n_eventos
Biguaçu,2004,Enxurradas,1
Biguaçu,2006,Enxurradas,1
Biguaçu,2008,Enxurradas,2
Biguaçu,2010,Enxurradas,1
Biguaçu,2011,Enxurradas,2
Biguaçu,2011,Inundações,1
Biguaçu,2016,Enxurradas,1
Biguaçu,2018,Alagamentos,1
Biguaçu,2019,Chuvas Intensas,1
Biguaçu,2021,Chuvas Intensas,1
Biguaçu,2021,Inundações,1
Biguaçu,2022,Chuvas Intensas,1
Biguaçu,2022,Enxurradas,5
Biguaçu,2023,Chuvas Intensas,2
Biguaçu,2024,Chuvas Intensas,1
Biguaçu,2024,Movimento de Massa,1
Bombinhas,2000,Enxurradas,1
Bombinhas,2004,Enxurradas,1
Bombinhas,2009,Enxurradas,1
Bombinhas,2011,Enxurradas,1
Bombinhas,2013,Chuvas Intensas,1
Bombinhas,2016,Alagamentos,2
Bombinhas,2016,Enxurradas,1
Bombinhas,2018,Enxurradas,1
Bombinhas,2020,Chuvas Intensas,1
Florianópolis,1991,Enxurradas,1
Florianópolis,1995,Enxurradas,1
Florianópolis,1995,Movimento de Massa,1
Florianópolis,1997,Enxurradas,1
Florianópolis,2000,Enxurradas,1
Florianópolis,2001,Enxurradas,1
Florianópolis,2008,Enxurradas,2
Florianópolis,2010,Enxurradas,2
Florianópolis,2011,Enxurradas,5
Florianópolis,2011,Inundações,1
Florianópolis,2015,Enxurradas,2
Florianópolis,2017,Enxurradas,2
Florianópolis,2018,Chuvas Intensas,1
Florianópolis,2019,Chuvas Intensas,1
Florianópolis,2020,Alagamentos,2
Florianópolis,2020,Chuvas Intensas,1
Florianópolis,2021,Chuvas Intensas,2
Florianópolis,2022,Chuvas Intensas,4
Florianópolis,2023,Chuvas Intensas,3
Florianópolis,2024,Alagamentos,1
Florianópolis,2024,Chuvas Intensas,1
Garopaba,2008,Enxurradas,1
Garopaba,2010,Enxurradas,1
Garopaba,2011,Alagamentos,1
Garopaba,2015,Inundações,1
Garopaba,2017,Inundações,1
Garopaba,2021,Alagamentos,1
Garopaba,2021,Chuvas Intensas,1
Garopaba,2021,Movimento de Massa,1
Garopaba,2022,Chuvas Intensas,1
Garopaba,2022,Movimento de Massa,1
Garopaba,2023,Chuvas Intensas,1
Garopaba,2024,Chuvas Intensas,1
Garuva,1991,Enxurradas,1
Garuva,1995,Enxurradas,1
Garuva,1996,Enxurradas,1
Garuva,1997,Enxurradas,1
Garuva,1998,Enxurradas,1
Garuva,2001,Inundações,1
Garuva,2003,Enxurradas,1
Garuva,2007,Enxurradas,1
Garuva,2008,Enxurradas,1
Garuva,2014,Enxurradas,1
Garuva,2016,Chuvas Intensas,1
Garuva,2017,Chuvas Intensas,1
Garuva,2017,Enxurradas,2
Garuva,2018,Chuvas Intensas,2
Garuva,2019,Enxurradas,1
Garuva,2020,Chuvas Intensas,1
Garuva,2021,Chuvas Intensas,4
Garuva,2022,Chuvas Intensas,2
Garuva,2022,Enxurradas,1
Garuva,2024,Chuvas Intensas,1
Governador Celso Ramos,1995,Enxurradas,1
Governador Celso Ramos,2000,Enxurradas,1
Governador Celso Ramos,2001,Enxurradas,1
Governador Celso Ramos,2002,Alagamentos,1
Governador Celso Ramos,2004,Enxurradas,1
Governador Celso Ramos,2008,Enxurradas,2
Governador Celso Ramos,2009,Enxurradas,1
Governador Celso Ramos,2010,Enxurradas,1
Governador Celso Ramos,2015,Chuvas Intensas,1
Governador Celso Ramos,2016,Chuvas Intensas,1
Governador Celso Ramos,2018,Movimento de Massa,1
Governador Celso Ramos,2022,Chuvas Intensas,2
Governador Celso Ramos,2023,Chuvas Intensas,1
Governador Celso Ramos,2023,Movimento de Massa,1
Imaruí,1995,Enxurradas,1
Imaruí,1996,Enxurradas,1
Imaruí,1996,Inundações,1
Imaruí,2008,Enxurradas,1
Imaruí,2011,Enxurradas,1
Imaruí,2017,Chuvas Intensas,1
Imaruí,2019,Enxurradas,1
Imaruí,2021,Chuvas Intensas,1
Imaruí,2022,Chuvas Intensas,3
Imaruí,2023,Chuvas Intensas,2
Imbituba,1996,Enxurradas,1
Imbituba,1998,Enxurradas,1
Imbituba,2001,Enxurradas,1
Imbituba,2004,Enxurradas,1
Imbituba,2016,Enxurradas,1
Imbituba,2017,Movimento de Massa,1
Imbituba,2018,Alagamentos,1
Imbituba,2019,Alagamentos,1
Imbituba,2023,Chuvas Intensas,2
Imbituba,2024,Chuvas Intensas,2
Itajaí,1995,Enxurradas,1
Itajaí,1999,Enxurradas,1
Itajaí,2001,Inundações,1
Itajaí,2003,Enxurradas,1
Itajaí,2008,Enxurradas,3
Itajaí,2009,Enxurradas,1
Itajaí,2010,Enxurradas,1
Itajaí,2011,Inundações,2
Itajaí,2012,Enxurradas,1
Itajaí,2013,Enxurradas,3
Itajaí,2013,Inundações,1
Itajaí,2015,Inundações,2
Itajaí,2016,Enxurradas,1
Itajaí,2016,Movimento de Massa,1
Itajaí,2017,Inundações,1
Itajaí,2021,Chuvas Intensas,1
Itajaí,2022,Chuvas Intensas,4
Itajaí,2023,Alagamentos,1
Itajaí,2023,Chuvas Intensas,1
Itajaí,2023,Inundações,1
Itajaí,2024,Chuvas Intensas,1
Itapema,2004,Enxurradas,1
Itapema,2008,Enxurradas,2
Itapema,2010,Enxurradas,1
Itapema,2011,Inundações,1
Itapema,2015,Inundações,1
Itapema,2015,Movimento de Massa,1
Itapema,2016,Alagamentos,2
Itapema,2018,Chuvas Intensas,1
Itapema,2019,Chuvas Intensas,1
Itapema,2020,Chuvas Intensas,1
Itapema,2021,Chuvas Intensas,1
Itapema,2022,Chuvas Intensas,1
Itapema,2023,Chuvas Intensas,1
Itapoá,1991,Inundações,1
Itapoá,1994,Enxurradas,1
Itapoá,1998,Alagamentos,1
Itapoá,2003,Enxurradas,1
Itapoá,2008,Enxurradas,2
Itapoá,2010,Enxurradas,1
Itapoá,2011,Enxurradas,1
Itapoá,2017,Chuvas Intensas,1
Itapoá,2018,Chuvas Intensas,1
Itapoá,2019,Chuvas Intensas,1
Itapoá,2020,Chuvas Intensas,1
Itapoá,2021,Chuvas Intensas,4
Itapoá,2022,Alagamentos,1
Itapoá,2022,Chuvas Intensas,4
Itapoá,2023,Chuvas Intensas,3
Itapoá,2024,Chuvas Intensas,2
Jaguaruna,2004,Enxurradas,1
Jaguaruna,2009,Enxurradas,1
Jaguaruna,2010,Enxurradas,1
Jaguaruna,2011,Enxurradas,2
Jaguaruna,2017,Chuvas Intensas,1
Jaguaruna,2017,Enxurradas,1
Jaguaruna,2019,Enxurradas,1
Jaguaruna,2021,Alagamentos,1
Jaguaruna,2021,Movimento de Massa,1
Jaguaruna,2022,Chuvas Intensas,1
Jaguaruna,2022,Enxurradas,1
Jaguaruna,2022,Inundações,1
Jaguaruna,2023,Chuvas Intensas,2
Jaguaruna,2024,Chuvas Intensas,1
