protocolo_s2i_d,nome_municipio,sigla_uf,regiao,data_registro,data_evento,cod_cobrade,tipologia,descricao_tipologia,grupo_de_desastre,cod_ibge_mun,setores_censitarios,status,dh_descricao,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_desaparecidos,dh_afetados_seca_estiagem,dh_total_danos_humanos_diretos,dh_outros_afetados,dm_descricao,dm_uni_habita_danificadas,dm_uni_habita_destruidas,dm_uni_habita_valor,dm_inst_saude_danificadas,dm_inst_saude_destruidas,dm_inst_saude_valor,dm_inst_ensino_danificadas,dm_inst_ensino_destruidas,dm_inst_ensino_valor,dm_inst_servicos_danificadas,dm_inst_servicos_destruidas,dm_inst_servicos_valor,dm_inst_comuni_danificadas,dm_inst_comuni_destruidas,dm_inst_comuni_valor,dm_obras_de_infra_danificadas,dm_obras_de_infra_destruidas,dm_obras_de_infra_valor,dm_total_danos_materiais,da_descricao,da_polui_cont_da_agua,da_polui_cont_do_ar,da_polui_cont_do_solo,da_dimi_exauri_hidrico,da_incendi_parques_ap_as_ap_ps,pepl_descricao,pepl_assis_med_e_emergen_r,pepl_abast_de_agua_pot_r,pepl_sist_de_esgotos_sanit_r,pepl_sis_limp_e_rec_lixo_r,pepl_sis_cont_pragas_r,pepl_distrib_energia_r,pepl_telecomunicacoes_r,pepl_tran_loc_reg_l_curso_r,pepl_distrib_combustiveis_r,pepl_seguranca_publica_r,pepl_ensino_r,pepl_total_publico,pepr_descricao,pepr_agricultura_r,pepr_pecuaria_r,pepr_industria_r,pepr_comercio_r,pepr_servicos_r,pepr_total_privado,pe_p_le_pr,ano,mes,mes_nome,categoria_evento
SC-F-4205803-12200-20140607,Garuva,SC,Sul,2014-06-09,2014-06-09,12200,2,Enxurradas,Hidrológico,4205803,NA,Registro,NA,0,0,0,0,0,0,0,0,0,A enxurrada causou prejuízos as estradas da zona rural em especial o bairro tres barras e baraharas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21435.346884417824,21435.346884417824,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2014,6,Jun,Enxurradas
SC-P-4202057-12300-20140608,Balneário Barra do Sul,SC,Sul,2014-06-12,2014-06-12,12300,1,Alagamentos,Hidrológico,4202057,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2014,6,Jun,Alagamentos
SC-F-4201307-12300-20140608,Araquari,SC,Sul,2014-06-13,2014-06-13,12300,1,Alagamentos,Hidrológico,4201307,NA,Reconhecido,NA,0,0,2,0,20,0,0,22,730,"Área Urbana: Comprometimento parcial das vias publicas acima citadas. 



Área Rural: Desmoronamento e comprometimento da Estrada Geral do Guamiranga (destruída) e de diversas vias públicas na Barra do Itapocú e ITinga.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5358836.721104456,5358836.721104456,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2014,6,Jun,Alagamentos
SC-F-4220000-12300-20140629,Balneário Rincão,SC,Sul,2014-07-29,2014-07-29,12300,1,Alagamentos,Hidrológico,4220000,NA,Reconhecido,NA,0,0,0,0,22,0,0,22,8,"- Escola municipal na localidade de Barra Velha:

	- Uso Comunitário: 03 campos de futebol e 01 Centro Comunitário (Centro do município);

	- Unidade habitacional: 496 residências afetadas no município;

	- Infraestrutura: Estradas, ruas, rede pluvial, pontilhões, são afetados com danos e prejuízos às comunidades.",496,0,425277.2821868496,0,0,0,1,0,10717.673442208912,0,0,0,4,0,19291.812195976043,63,16,1128738.209170297,1584024.9769953315,NA,NA,NA,NA,NA,NA,NA,0,29259.248497230332,241683.536121811,953872.9363565933,0,0,0,417989.2642461476,134613.97843414394,0,10717.673442208912,1788136.637098135,NA,19291.812195976043,10717.673442208912,232573.5136959334,0,124325.01192962339,386908.01126374176,2175044.6483618766,2014,7,Jul,Alagamentos
SC-F-4202008-12200-20150204,Balneário Camboriú,SC,Sul,2015-02-04,2015-02-04,12200,2,Enxurradas,Hidrológico,4202008,NA,Registro,NA,0,1,0,0,200,0,0,201,0,Duas escolas municipais foram atingidas pelos alagamentos.,0,0,0,0,0,0,2,0,38726.529515118134,0,0,0,0,0,0,0,0,0,38726.529515118134,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,2,Fev,Enxurradas
SC-F-4206009-13214-20150213,Governador Celso Ramos,SC,Sul,2015-02-27,2015-02-27,13214,13,Chuvas Intensas,Hidrológico,4206009,NA,Reconhecido,NA,0,5,0,0,0,0,0,5,400,"Bairro Canto dos Ganchos , Rodovia Francisco Wollinger s/n, deslizamento de um barraco.Rua Hipólito de Azevedo nº136, desmoronamento de muro em cima da casa do vizinho. Rua São Pedro nº 100, muro com risco de cair colocando a casa em risco.Palmas, Rua Ingá nº 6, deslizamento de terra invadindo o terreno e a casa.Bairro Fazenda da Armação,rua Antonio José Ocker, pedra a cima da residência, alto risco de queda. Rua dos Anogueiros nº344 ,deslizamento de terra quebra de muro. Bairro Ganchos do Meio,Servidão Tomaz Ferreira s/n,retirada de poste de luz e construção de um novo muro de arrimo. Bairro Areias do meio nº 51 ,deslizamento de terra sobre a garagem. Bairro ganchos de Fora, Rua dos navegantes deslizamento de terra e construção de um morro de arrimo. Bairro ganchos, final canal arrrumar  a canalização de agua que desce do morro , a mesma foi destruída com a forte chuva colocando a resistências em risco. Remoção de barreiras em ganchos do meio (bombordo), morro de Palmas, Loteamento Gaivotas, Avenida Roseno Joaquim Sagás(Palmas), Armação da Piedade( Rua das Alamandas), Acesso a praia das cordas, Camboa(rua Maria Luiza dos Santos),entre outros conforme planilha anexo. Recuperação e desobstrução de vias Públicas( morro de Areias de Baixo em quatro pontos, Costeira da Armação- Rua Gentil M de Carvalho e cinco pontos,Praia do Antenor - Rodovia GCR 120 em dois pontos, Caeira do Norte Rodovia GCR 120 em dois pontos, Canto dos Ganchos - Rodovia Francisco Wollinger em um ponto, Calheiros Av. Bela Vista em um ponto, Areias de Baixo - Rua Vitalino Ávila em um ponto, Palmas - Rua Manoel José Pereira em um ponto, Palmas- Rua dos Recantos em um ponto, Armação da Piedade Rua Luiz Alexandrino da Silva em um ponto, Fazenda da Armação - Rua Horácio Fiel em um ponto).",10,0,333048.153830016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341365.3116280516,2674413.4654580676,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,2,Fev,Chuvas Intensas
SC-F-4205407-12200-20150213,Florianópolis,SC,Sul,2015-03-03,2015-03-03,12200,2,Enxurradas,Hidrológico,4205407,NA,Registro,NA,0,0,0,0,200,0,0,200,0,"Foi afetada uma ala do hospital Nereu Ramos, diversas ruas com perda da camada asfáltica, entupimento dos sistemas de drenagem e obstrução de vias públicas por deslizamentos e diversos alagamentos em ruas,residências e comércio.",40,4,677714.2665145673,1,0,3872.652951511813,0,0,0,0,0,0,0,0,0,40,0,383392.6421996695,1064979.5616657487,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,3,Mar,Enxurradas
SC-F-4209102-13214-20150313,Joinville,SC,Sul,2015-03-23,2015-03-23,13214,13,Chuvas Intensas,Hidrológico,4209102,NA,Registro,NA,0,0,0,0,30796,0,0,30796,25404,"Descrição dos Danos Materiais: Residências situadas na área afetada foram tomadas pelas águas da inundação, causando danos estruturais, perda de móveis e eletrodomésticos e também danos a veículos. Na área atingida por enxurradas na encostas dos morros do Boa Vista e Iririú, muros foram derrubados, drenagens pluviais danificadas e casas atingidas por deslizamentos. Três Escolas Estaduais foram inundadas e tiveram suas atividades canceladas, a Secretaria de Saúde do Município também apresentou prejuízos, devido ao comprometimento da cobertura em virtude da grande quantidade de precipitação. Uma ponte foi totalmente destruída pela força das águas, na Estrada Rio do Julio, onde na mesma localidade outra ponte em madeira foi parcialmente destruída, a região tem forte apelo para o turismo rural. No bairro Vila Nova, duas pontes em madeira também foram danificadas, deixando comunidades isoladas por algumas áreas, as pontes estão localizadas na Estrada Aratacas e Rua Dos Portugueses.",9720,0,149077775.36844724,0,0,0,1,0,1936.3264757559066,0,0,0,0,0,0,3,1,484081.61893897667,149563793.313862,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,3,Mar,Chuvas Intensas
SC-F-4220000-12300-20150310,Balneário Rincão,SC,Sul,2015-03-24,2015-03-24,12300,1,Alagamentos,Hidrológico,4220000,NA,Registro,NA,0,0,0,0,0,0,0,0,3500,"Unidades habitacionais: 110 residências afetadas por alamento.

Infraestrutura: estradas, ruas, drenagem pluvial e pontilhões afetados e gerando danos as comunidades.",110,0,87134.6914090158,0,0,0,0,0,0,0,0,0,0,0,0,21,0,143489.53715941572,230624.2285684315,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,3,Mar,Alagamentos
SC-F-4201406-12200-20150221,Araranguá,SC,Sul,2015-04-09,2015-04-09,12200,2,Enxurradas,Hidrológico,4201406,NA,Registro,NA,0,0,0,12,0,0,0,12,0,"11 ruas não pavimentadas próximas de encostas tiveram deslocamento de massa e precisaram ser refeitas em sua totalidade.

27 ruas pavimentadas tiveram danos estruturais graves e médios, necessitando de reparos massivos.

Dano estimado, conforme Secretaria de Obras é em torno de 1 milhão de reais.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,1936326.4757559067,1936326.4757559067,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,4,Abr,Enxurradas
SC-F-4201406-12200-20150511,Araranguá,SC,Sul,2015-05-13,2015-05-13,12200,2,Enxurradas,Hidrológico,4201406,NA,Registro,NA,0,0,0,0,0,0,0,0,0,"Além dos alagamentos várias ruas tiveram prejuízo como buracos no asfalto, entupimentos de bocas de lobo, danos a tubulação de esgoto e abastecimento de água. As ruas de aclive sem pavimentação tiveram prejuízo estrutural, deslizamento de massa e erosão.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135542.85330291346,135542.85330291346,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,5,Mai,Enxurradas
SC-F-4212650-12200-20150511,Pescaria Brava,SC,Sul,2015-05-21,2015-05-21,12200,2,Enxurradas,Hidrológico,4212650,NA,Registro,NA,0,0,0,20,0,0,0,20,0,"01 Ponte destruídas conforme relatório anexo

02 Pontes danificadas conforme relatório anexo

Malhas viárias comprometidas pela enxurrada do dia chegando em torno a 90% comprometidas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,678200.2844599821,678200.2844599821,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,5,Mai,Enxurradas
SC-F-4208302-11321-20150527,Itapema,SC,Sul,2015-05-28,2015-05-28,11321,8,Movimento de Massa,Hidrológico,4208302,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,5,Mai,Movimento de Massa
SC-F-4216404-12200-20150526,São João do Sul,SC,Sul,2015-06-05,2015-06-05,12200,2,Enxurradas,Hidrológico,4216404,NA,Registro,NA,0,0,0,0,0,0,0,0,0,"Ponte na localidade de Beira Rio que dá acesso ao município de Praia Grande (destruída);

Bueiros destruídos e com trânsito bloqueado em diversas localidades;

Cabeceiras de pontes destruídas e acessos bloqueados;

Rodovias municipais danificadas e alguns pontos bloqueados (15 km)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181159.150211103,1181159.150211103,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,6,Jun,Enxurradas
SC-F-4205407-12200-20150724,Florianópolis,SC,Sul,2015-07-28,2015-07-28,12200,2,Enxurradas,Hidrológico,4205407,NA,Registro,NA,0,0,0,0,20,0,0,20,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,7,Jul,Enxurradas
SC-F-4220000-12300-20150917,Balneário Rincão,SC,Sul,2015-09-18,2015-09-18,12300,1,Alagamentos,Hidrológico,4220000,NA,Registro,NA,0,0,0,0,0,0,0,0,0,"Tivemos quatro Unidades de Habitacionais afetadas por alagamento ficando isoladas na comunidade de Barra Velha na zona Sul do município  e duas Unidades Habitacionais afetadas pelo córrego que transbordou na região central do Município na altura da Avenida Leoberto Leal.  
 
Os Danos Matérias referente a infraestrutura, tivemos a localidade do bairro Pedreiras que liga a comunidade de Urussanga Velha. O córrego transbordou, passando por cima da estrada de ligação das comunidades e danificando o pontilhão, sendo mais 3 km de estrada vicinal com vários pontos danificados pela enxurrada. Outro estrada Vicinal danificada pela enxurrada foi na comunidade da região dos Lagos que liga a comunidade de Coqueiros levou movimentação de terra para cima da rodovia prejudicando a trafegabilidade de veículos.",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,16458.775043925205,0,0,0,0,0,0,0,0,16458.775043925205,NA,0,0,0,0,0,0,16458.775043925205,2015,9,Set,Alagamentos
SC-F-4208203-12100-20151013,Itajaí,SC,Sul,2015-10-20,2015-10-20,12100,7,Inundações,Hidrológico,4208203,NA,Registro,NA,0,0,0,0,0,0,0,0,24800,"Além das perdas decorrentes da paralisação temporária da atividade, a correnteza acaba carreando sedimentos e detritos acumulados em toda a bacia hidrográfica para a sua foz, o que gera o assoreamento dos acessos aquaviários do Complexo. Com as restrições de profundidade apontadas por pelos levantamentos batimétricos anexados, o Complexo Portuários está com a profundidade de seus acessos e bacia de evolução limitadas.
Segundo documento apresentado pela empresa Itajaí & Navegantes Pilots, responsável pelos serviços de praticagem no Complexo, cada centímetro de redução na profundidade dos canais de acesso pode reduzir em até 100 toneladas a capacidade de transporte de um navio de 5,7 mil a 9,5 mil TEUs (Twenty-foot Equivalent Unit ¿ unidade internacional equivalente a um contêiner de 20 pés). Se considerarmos que um contêiner pesa em média 15 toneladas, isso representa seis ou sete contêineres por centímetros e 600 a 700 contêineres por navio.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,61342822.75194712,61342822.75194712,61342822.75194712,2015,10,Out,Inundações
SC-F-4208203-12100-20151022,Itajaí,SC,Sul,2015-10-26,2015-10-26,12100,7,Inundações,Hidrológico,4208203,NA,Registro,NA,0,0,0,0,0,0,0,0,0,"A inundação fluvial atingiu 250 residências e provocou o afundamento do apoio central da Ponte Tancredo Neves que liga os Bairros São Vicente e Cordeiros, ocasionando trinca contínua na seção transversal da pista e guard-rails, a trinca se configurou no encontro dos tabuleiros sobre o apoio central. Na data de 13/12/2015 a ponte Tancredo Neves que estava interditada, aguardando elaboração de projeto de reparos, entrou em colapso total conforme fotos em anexo.
",250,0,266244.8904164372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4840816.189389766,5107061.079806204,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,55328.592718249274,0,0,0,0,0,55328.592718249274,NA,10483271.53974248,0,0,0,0,10483271.53974248,10538600.132460728,2015,10,Out,Inundações
SC-F-4209102-12100-20151023,Joinville,SC,Sul,2015-11-02,2015-11-02,12100,7,Inundações,Hidrológico,4209102,NA,Registro,NA,0,0,0,0,0,0,0,0,0,"Registrados 22 deslizamentos de terra atingindo parcialmente 21 unidades habitacionais e 1 instalação pública de ensino, Escola Municipal Baltazar Buschler. Outras 11 unidades habitacionais tiveram danos relativos a quedas de muros, sobretudo obras de contenção mal executados ou inadequados para esta função. De acordo com relatório apresentado pela Secretaria de Saúde, 12 instalações públicas de saúde apresentaram danos devido à inundação, principalmente relacionados à perda de móveis ou instalações internas. Instalações públicas de ensino, em 15 edificações, também tiveram suas dependências invadidas pelas águas da inundação causando danos principalmente em suas instalações internas, como fiação elétrica, material de expediente e moveis. Contabilizadas pela Secretaria de Infraestrutura Urbana, 5 estruturas de pontes danificadas pela elevação dos rios da região, sendo em ordem de criticidade os seguintes locais: Ponte na estrada rio do júlio no distrito de pirabeirada; ponte na estrada quiriri (alto quiriri) em pirabeiraba; ponte na rua gilherme zilmann no bairro vila nova e ponte na estrada dedo grosso (divisa com guaramirim), travessia da lateral da estrada arataca no bairro são marcos.",0,32,580897.942726772,0,12,58089.7942726772,0,16,96816.32378779534,0,0,0,0,0,0,0,5,774530.5903023627,1510334.6510896073,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,774530.5903023627,0,0,0,774530.5903023627,NA,0,0,3059395.8316943324,10243167.056748746,13538794.7184853,26841357.60692838,27615888.19723074,2015,11,Nov,Inundações
SC-F-4205704-12100-20151105,Garopaba,SC,Sul,2015-11-09,2015-11-09,12100,7,Inundações,Hidrológico,4205704,NA,Registro,NA,0,0,0,2,2,0,0,4,0,"foram danificados eletrodomésticos e moveis , as residencias em si não tiveram sequer algum tipo de recalque que impedisse a volta dos moradores.",2,0,19363.264757559067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19363.264757559067,NA,NA,NA,NA,NA,NA,NA,0,0,774530.5903023627,58089.7942726772,0,0,0,0,0,0,0,832620.3845750398,NA,0,0,0,0,0,0,832620.3845750398,2015,11,Nov,Inundações
SC-F-4208302-12100-20151022,Itapema,SC,Sul,2015-11-09,2015-11-09,12100,7,Inundações,Hidrológico,4208302,NA,Registro,NA,0,0,0,0,0,0,0,0,0,"Ponte de acesso a estação de tratamento de esgoto do município localizada no Bairro Morretes na rua 440 e uma ponte para carros,motos, ciclistas e pedestres localizada no bairro Ilhota na rua 1204 com Rua 1.204b².

",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,154906.11806047254,154906.11806047254,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2015,11,Nov,Inundações
SC-F-4215653-12200-20151012,Santa Rosa do Sul,SC,Sul,2015-12-17,2015-12-17,12200,2,Enxurradas,Hidrológico,4215653,NA,Registro,NA,0,0,0,0,0,0,0,0,1500,"Cabeceira de pontes e leitos = 3,0 unidades
Assoreamento de macro-canal de drenagem = 1,0 unidade (2.000 m)
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,290448.971363386,290448.971363386,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,193632.64757559067,48408.16189389767,0,9681.632378779534,77453.05903023627,329175.5008785041,329175.5008785041,2015,12,Dez,Enxurradas
SC-F-4202057-12100-20151228,Balneário Barra do Sul,SC,Sul,2015-12-29,2015-12-29,12100,7,Inundações,Hidrológico,4202057,NA,Reconhecido,NA,0,0,0,0,500,0,0,500,8423,"As estruturas de diversas residências, comércio entre outros estabelecimentos ficaram danificadas devido ao acumulo e força da água. Estradas danificadas pelo encharcamento do solo. Bueiros e tubulações danificados pela água.
Bairros afetados: Centro (urbano), Salinas (urbano), Costeira (Urbano), Pinheiros e Conquista (Rural).As ruas conforme mapa do item 4.2.
Instalações da Secretaria de Educação na Avenida Amândio Cabral e  Escola Juraci Isaura de Oliveira na rua Padre Nestor Walter 408- bairro costeira emundou danificando moveis e equipamento de informatica. Ginásio de esporte emundou.  Drenagem danos em vias publicas, tubulações,  danos em galerias na conquista coordenadas: Latitude 26°23'45.05""S  Longitude 48°39'42.21"".",300,0,290448.971363386,0,0,0,1,0,2904.48971363386,0,0,0,1,0,3872.652951511813,3000,0,1452244.85681693,1749470.9708454616,NA,NA,NA,NA,NA,NA,NA,0,0,193632.64757559067,29044.8971363386,0,0,0,1229567.3121050007,0,0,0,1452244.85681693,NA,0,0,0,3613185.203760522,3613185.203760522,7226370.407521044,8678615.264337974,2015,12,Dez,Inundações
SC-F-4206009-13214-20151229,Governador Celso Ramos,SC,Sul,2016-01-04,2016-01-04,13214,13,Chuvas Intensas,Hidrológico,4206009,NA,Reconhecido,NA,0,0,0,0,0,0,0,0,6000,"Os bairro Palmas, Fazenda da Armação, Ganchos do Meio, Calheiros,  Ganchos de Fora, Jordão, Areias do Meio, Areias de Baixo, Areias de Cima, Camboa, Canto dos Ganchos, Calheiros, Caeira do Norte, Costeira da Armação, foram atingidos por Tempestade Local/Convectiva - Chuvas Intensas no dia 29/12/2015 as 3:00 horas, ocasionado  alagamentos de Rua diversas Ruas e Casas. Houve rompimento de pavimentação da Rua Horácio Fiel e asfalto na Rua Gerino Belmiro dos Santos. Desmoronamento de Muro no CEI Lucia Francisca Sagas, na localidade de Areias do Meio. Desmoronamento do muro da Escola Silvia Prazeres de Carvalho na Caeira do Norte. Rompimento e Desmoronamento do muro de contenção na Rua Adolfo Alves, na localidade de Canto dos Ganchos. Rompimento de Muro de contenção em Ganchos do Meio. Rompimento e asfalto e drenagem da Rodovia Francisco Wollinger na localidade de Canto dos Ganchos. Rompimento de asfalto em vários pontos na avenida Papemborg, na localidade de Areias de Baixo. Rompimento do pavimento na Rua Hipólito de Azevedo, na localidade de Cantos do Ganchos. Rompimento de pavimentação na Rua Pedro dos Passos Veríssimo, na localidade de Jordão. Rompimento de pavimentação na Rua Hercílio Conrado na localidade de Areias do Meio. Rompimento de asfalto em vários pontos na Avenida Rosendo Joaquim Sagas, na Localidade de Palmas. Rompimento de asfalto em vários pontos na na Rua Maria Luíza dos Santos, na localidade da Camboa. Rompimento de Muro de contenção em Ganchos do Meio. 
O município enfrenta dificuldade econômica no restabelecimento da normalidade.",0,0,0,0,0,0,2,0,108394.08457208567,0,0,0,0,0,0,30,0,2805571.317251598,2913965.4018236836,NA,NA,NA,NA,NA,NA,NA,0,133686.03763890566,0,0,0,0,0,2805571.317251598,0,0,245805.26558411866,3185062.6204746226,NA,0,108394.08457208567,0,0,0,108394.08457208567,3293456.705046708,2016,1,Jan,Chuvas Intensas
SC-F-4209102-12100-20151227,Joinville,SC,Sul,2016-01-04,2016-01-04,12100,7,Inundações,Hidrológico,4209102,NA,Registro,NA,0,0,0,0,2,0,0,2,5000,"Uma unidade habitacional foi destruída devido ao desabamento de um muro de arrimo que atingiu a residência em madeira. O custo para reconstrução é de aproximadamente 60000 reais. Outras 11 unidade habitacionais tiveram foram afetadas por deslizamentos e que da muros, causando prejuízos parciais nas estruturas e necessitarão de intervenção para recuperar, principalmente obras relacionadas a muro de contenção. Uma ponte foi parcialmente danificada na estrada Isac, no distrito de Pirabeiraba, o que causou o isolamento parcial da comunidade da região. Outra obra afetada foi o pontilhão de madeira na rua Kesser Zattar, no bairro João Costa, parcialmente danificada pela inundação.",11,1,1083940.8457208567,0,0,0,0,0,0,0,0,0,0,0,0,2,0,162591.1268581285,1246531.9725789852,NA,NA,NA,NA,NA,NA,NA,0,0,0,180656.8076201428,0,0,0,108394.08457208567,0,0,0,289050.89219222846,NA,0,0,0,812955.6342906425,812955.6342906425,1625911.268581285,1914962.1607735134,2016,1,Jan,Inundações
SC-F-4216602-13214-20160130,São José,SC,Sul,2016-02-04,2016-01-30,13214,13,Chuvas Intensas,Hidrológico,4216602,NA,Registro,NA,0,0,0,0,0,0,0,0,120,"Em vistoria realizada em 01/02/2016, verificou-se que o transbordamento do rio Imaruí, bairro Colônia Santana, devido as fortes chuvas ocorridas entre os dias 30/01 e 31/01/2016, provocou o deslocamento e destruição da estrutura da plataforma da ponte (figuras 1, 3 e 4).
A ponte possui cerca de 15 m de comprimento e 5 m de largura. A estrutura é simétrica, com vigas principais e o tabuleiro/plataforma em madeira. A plataforma está apoiada em bases/cabeceira de concreto armado.
Apenas a estrutura em madeira, vigas principais e plataforma foram afetadas. As cabeceiras permaneceram intactas (figura 3).
Segundo relato dos moradores, no local há a circulação de veículos leves e pesados diariamente.

 LATITUDE ¿ S 27°35¿29.31¿¿

 LONGITUDE ¿ O 48°42¿09.93¿¿


",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2016,1,Jan,Chuvas Intensas
SC-F-4205803-13214-20160222,Garuva,SC,Sul,2016-02-23,2016-02-22,13214,13,Chuvas Intensas,Hidrológico,4205803,NA,Registro,NA,0,0,0,0,250,0,0,250,2800,"Devido ao súbito alagamento várias residências estimadas em 200 unidades, tiveram seus pertences, objetos, eletrodomésticos, móveis, automóveis danificados pela água, instalações de ensino também tiveram materias, carteiras, objetos, eletrônicos, utensílios pedagógicos atingidos, instalações públicas de saúde foram atingidas pelas águas, rompimento de travessias em tubulação de concreto, pista de rolamentos no quadro urbano e rural e cabeceiras de pontes danificadas, ponte pênsil arrancada devido ao enrroncamento de aproximadamente 400 metros de margem do rio São João.",200,0,632298.8266704998,1,0,9032.84038100714,3,0,135492.60571510709,0,0,0,1,0,9032.84038100714,1,0,1806568.0762014277,2592425.189349049,NA,NA,NA,NA,NA,NA,NA,0,36131.36152402856,1625911.268581285,27098.52114302142,9032.84038100714,0,0,722627.2304805712,0,1806.5680762014279,135492.60571510709,2558100.395901222,NA,54197.04228604284,0,54197.04228604284,45164.2019050357,99361.24419107853,252919.53066819988,2811019.926569422,2016,2,Fev,Chuvas Intensas
SC-F-4207304-12200-20160227,Imbituba,SC,Sul,2016-02-28,2016-02-27,12200,2,Enxurradas,Hidrológico,4207304,NA,Registro,NA,0,0,0,0,0,0,0,0,0,"No local estava sendo realizada obra de substituição de tubulação de 60 por nova com diâmetro de 80 em extensão total de 25 metros, passagem de águas pluviais sob a via pública, bocas-de-lobo e calçamento do trecho sobre a passagem de águas, com valor orçado de R$ 25.000,00. Até o momento haviam sido realizadas as obras apenas no trecho de passagem sob a via. Fonte das informações: Secretaria de Agricultura, Pesca e Infraestrutura - 48 32552002 - 48 3255-2967.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45164.2019050357,45164.2019050357,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2016,2,Fev,Enxurradas
SC-F-4216206-13214-20160307,São Francisco do Sul,SC,Sul,2016-03-14,2016-03-07,13214,13,Chuvas Intensas,Hidrológico,4216206,NA,Registro,NA,0,0,0,0,25,0,0,25,2500,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,270985.21143021417,0,0,0,0,0,0,0,0,270985.21143021417,NA,0,0,0,0,0,0,270985.21143021417,2016,3,Mar,Chuvas Intensas
