protocolo_s2i_d,nome_municipio,sigla_uf,regiao,data_registro,data_evento,cod_cobrade,tipologia,descricao_tipologia,grupo_de_desastre,cod_ibge_mun,setores_censitarios,status,dh_descricao,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_desaparecidos,dh_afetados_seca_estiagem,dh_total_danos_humanos_diretos,dh_outros_afetados,dm_descricao,dm_uni_habita_danificadas,dm_uni_habita_destruidas,dm_uni_habita_valor,dm_inst_saude_danificadas,dm_inst_saude_destruidas,dm_inst_saude_valor,dm_inst_ensino_danificadas,dm_inst_ensino_destruidas,dm_inst_ensino_valor,dm_inst_servicos_danificadas,dm_inst_servicos_destruidas,dm_inst_servicos_valor,dm_inst_comuni_danificadas,dm_inst_comuni_destruidas,dm_inst_comuni_valor,dm_obras_de_infra_danificadas,dm_obras_de_infra_destruidas,dm_obras_de_infra_valor,dm_total_danos_materiais,da_descricao,da_polui_cont_da_agua,da_polui_cont_do_ar,da_polui_cont_do_solo,da_dimi_exauri_hidrico,da_incendi_parques_ap_as_ap_ps,pepl_descricao,pepl_assis_med_e_emergen_r,pepl_abast_de_agua_pot_r,pepl_sist_de_esgotos_sanit_r,pepl_sis_limp_e_rec_lixo_r,pepl_sis_cont_pragas_r,pepl_distrib_energia_r,pepl_telecomunicacoes_r,pepl_tran_loc_reg_l_curso_r,pepl_distrib_combustiveis_r,pepl_seguranca_publica_r,pepl_ensino_r,pepl_total_publico,pepr_descricao,pepr_agricultura_r,pepr_pecuaria_r,pepr_industria_r,pepr_comercio_r,pepr_servicos_r,pepr_total_privado,pe_p_le_pr,ano,mes,mes_nome,categoria_evento
SC-A-4209102-11331-20020110,Joinville,SC,Sul,2002-01-10,2002-01-10,11331,8,Movimento de Massa,Hidrológico,4209102,NA,Registro,NA,0,0,0,4,14,0,0,18,20,NA,4990,0,21778334.527802814,0,0,0,1,0,4364.3956969544715,0,0,0,0,0,0,356000,0,2836857.203020407,24619556.126520175,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2002,1,Jan,Movimento de Massa
SC-A-4206009-12300-20020113,Governador Celso Ramos,SC,Sul,2002-01-13,2002-01-13,12300,1,Alagamentos,Hidrológico,4206009,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,174575.82787817888,174575.82787817888,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2002,1,Jan,Alagamentos
SC-P-4211306-12200-20020327,Navegantes,SC,Sul,2002-03-27,2002-03-27,12200,2,Enxurradas,Hidrológico,4211306,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2002,3,Mar,Enxurradas
SC-A-4215653-12200-20021214,Santa Rosa do Sul,SC,Sul,2002-12-14,2002-12-14,12200,2,Enxurradas,Hidrológico,4215653,NA,Reconhecido,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1396606.623025431,1396606.623025431,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1309318.7090863416,0,0,0,0,1309318.7090863416,1309318.7090863416,2002,12,Dez,Enxurradas
SC-A-4209102-12100-20030127,Joinville,SC,Sul,2003-01-27,2003-01-27,12100,7,Inundações,Hidrológico,4209102,NA,Registro,NA,0,0,0,16,440,0,0,456,2800,NA,15,0,624220.9207375232,0,0,0,0,0,0,0,0,0,0,0,0,84,6,24133840.013449434,24758060.934186958,NA,NA,NA,NA,NA,NA,NA,0,301977.0038632823,0,0,0,0,0,0,0,0,0,301977.0038632823,NA,794462.990029575,0,0,0,0,794462.990029575,1096439.9938928573,2003,1,Jan,Inundações
SC-A-4208450-12200-20030127,Itapoá,SC,Sul,2003-01-27,2003-01-27,12200,2,Enxurradas,Hidrológico,4208450,NA,Reconhecido,NA,0,0,0,0,154,0,0,154,257,NA,104,0,2837367.8215341964,0,0,0,0,0,0,0,0,0,0,0,0,2,50,10275324.896555983,13112692.718090178,NA,NA,NA,NA,NA,NA,NA,16213.530408766836,0,0,0,0,0,0,1580819.2148547666,0,0,0,1597032.7452635334,NA,0,0,0,0,0,0,1597032.7452635334,2003,1,Jan,Enxurradas
SC-A-4205803-12200-20030127,Garuva,SC,Sul,2003-01-27,2003-01-27,12200,2,Enxurradas,Hidrológico,4205803,NA,Registro,NA,0,0,0,0,80,0,0,80,80,NA,4,0,60800.73903287564,0,0,0,0,0,0,0,0,0,0,0,0,108,0,1329509.4935188806,1390310.232551756,NA,NA,NA,NA,NA,NA,NA,0,8106.765204383418,0,12160.147806575127,0,0,0,506672.8252739636,0,0,0,526939.7382849222,NA,498566.0600695802,0,0,0,0,498566.0600695802,1025505.7983545024,2003,1,Jan,Enxurradas
SC-A-4201307-12200-20030130,Araquari,SC,Sul,2003-01-30,2003-01-30,12200,2,Enxurradas,Hidrológico,4201307,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49816.072180936106,49816.072180936106,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2003,1,Jan,Enxurradas
SC-A-4217709-12200-20030218,Sombrio,SC,Sul,2003-02-18,2003-02-18,12200,2,Enxurradas,Hidrológico,4217709,NA,Registro,NA,0,0,4,6,104,0,0,114,0,NA,30,0,121601.47806575127,0,0,0,0,0,0,0,0,0,0,0,0,1502,0,526939.7382849222,648541.2163506735,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1013345.6505479272,0,0,0,0,1013345.6505479272,1013345.6505479272,2003,2,Fev,Enxurradas
SC-A-4202073-12100-20030219,Balneário Gaivota,SC,Sul,2003-02-19,2003-02-19,12100,7,Inundações,Hidrológico,4202073,NA,Reconhecido,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,251309.72133588596,251309.72133588596,NA,NA,NA,NA,NA,NA,NA,24320.295613150254,0,0,0,0,0,0,52693.97382849221,0,0,0,77014.26944164246,NA,0,0,0,0,20266.913010958546,20266.913010958546,97281.18245260102,2003,2,Fev,Inundações
SC-A-4208203-12200-20031106,Itajaí,SC,Sul,2003-11-06,2003-11-06,12200,2,Enxurradas,Hidrológico,4208203,NA,Registro,NA,1,0,0,16,16,0,0,33,16,NA,800,7,3931781.1241259575,1,0,40533.82602191709,8,0,109441.33025917615,0,0,0,0,0,0,153,1,10891439.052089121,14973195.332496174,NA,NA,NA,NA,NA,NA,NA,0,1013345.6505479272,0,0,0,0,0,0,0,0,198615.74750739374,1211961.398055321,NA,304003.69516437815,12160.147806575127,0,0,0,316163.8429709533,1528125.2410262744,2003,11,Nov,Enxurradas
SC-A-4202107-12100-20031107,Barra Velha,SC,Sul,2003-11-07,2003-11-07,12100,7,Inundações,Hidrológico,4202107,NA,Registro,NA,0,0,0,21,422,0,0,443,656,NA,58,0,352644.28639067867,0,0,0,1,0,48640.59122630051,0,0,0,0,0,0,0,0,223746.71964098234,625031.5972579615,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,233474.83788624243,0,0,0,283736.7821534196,517211.62003966206,517211.62003966206,2003,11,Nov,Inundações
SC-A-4211306-12200-20031107,Navegantes,SC,Sul,2003-11-07,2003-11-07,12200,2,Enxurradas,Hidrológico,4211306,NA,Registro,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,52693.97382849221,3,0,101334.56505479272,0,0,0,1,0,12160.147806575127,1,0,20266.913010958546,186455.59970081862,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,243202.95613150255,0,0,32427.06081753367,275630.0169490362,275630.0169490362,2003,11,Nov,Enxurradas
SC-N-4216602-12200-20040127,São José,SC,Sul,2004-01-27,2004-01-27,12200,2,Enxurradas,Hidrológico,4216602,NA,Registro,NA,0,1,1,110,20000,0,0,20112,1900,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2004,1,Jan,Enxurradas
SC-A-4202305-12200-20040127,Biguaçu,SC,Sul,2004-01-27,2004-01-27,12200,2,Enxurradas,Hidrológico,4202305,NA,Registro,NA,0,0,0,0,15,0,0,15,1213,NA,32,2,878374.8917642954,1,0,21688.268932451738,2,0,93982.49870729087,0,0,0,1,0,18073.557443709782,1,1,1210928.3487285555,2223047.5655763033,NA,NA,NA,NA,NA,NA,NA,0,7229.422977483913,0,0,0,0,0,578353.838198713,0,0,0,585583.261176197,NA,0,0,0,0,361471.14887419564,361471.14887419564,947054.4100503926,2004,1,Jan,Enxurradas
SC-A-4206009-12200-20040128,Governador Celso Ramos,SC,Sul,2004-01-28,2004-01-28,12200,2,Enxurradas,Hidrológico,4206009,NA,Registro,NA,0,0,0,0,4,0,0,4,0,NA,3,1,45183.893609274455,1,0,18073.557443709782,0,0,0,0,0,0,0,0,0,0,0,117478.12338411358,180735.57443709782,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,63257.45105298424,0,0,0,63257.45105298424,NA,0,0,0,0,0,0,63257.45105298424,2004,1,Jan,Enxurradas
SC-A-4202008-12200-20040314,Balneário Camboriú,SC,Sul,2004-03-14,2004-03-14,12200,2,Enxurradas,Hidrológico,4202008,NA,Reconhecido,NA,0,0,0,195,2000,0,0,2195,8000,NA,1,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1402508.057631879,1402508.057631879,NA,NA,NA,NA,NA,NA,NA,0,0,249415.092723195,162662.01699338804,0,0,0,0,0,0,0,412077.10971658304,NA,0,0,0,0,0,0,412077.10971658304,2004,3,Mar,Enxurradas
