ano,n_eventos
1991,8
1992,4
1993,4
1994,10
1995,16
1996,10
1997,5
1998,11
1999,3
2000,10
2001,31
2002,8
2003,14
2004,38
2005,14
2006,7
2007,5
2008,45
2009,43
2010,44
2011,62
2012,12
2013,22
2014,14
2015,30
2016,34
2017,64
2018,47
2019,37
2020,91
2021,93
2022,119
2023,109
2024,60
