nome_municipio,categoria_evento,n_eventos,total_municipio,perc_no_municipio
Passo de Torres,Chuvas Intensas,3,28,10.714285714285714
Passo de Torres,Enxurradas,3,28,10.714285714285714
Passo de Torres,Inundações,3,28,10.714285714285714
Pescaria Brava,Chuvas Intensas,3,28,10.714285714285714
Pescaria Brava,Enxurradas,3,28,10.714285714285714
Passo de Torres,Estiagem e Seca,2,28,7.142857142857143
Passo de Torres,Alagamentos,1,28,3.5714285714285716
Pescaria Brava,Alagamentos,1,28,3.5714285714285716
Pescaria Brava,Onda de Calor e Baixa Umidade,1,28,3.5714285714285716
Balneário Gaivota,Enxurradas,7,26,26.923076923076923
Balneário Gaivota,Estiagem e Seca,6,26,23.076923076923077
Balneário Gaivota,Chuvas Intensas,4,26,15.384615384615385
Balneário Gaivota,Vendavais e Ciclones,4,26,15.384615384615385
Balneário Gaivota,Inundações,3,26,11.538461538461538
Balneário Gaivota,Granizo,2,26,7.6923076923076925
Balneário Rincão,Vendavais e Ciclones,12,18,66.66666666666667
Balneário Rincão,Alagamentos,5,18,27.77777777777778
Balneário Rincão,Enxurradas,1,18,5.555555555555555
